Transaction Date, Transaction Amount, Notes, Transaction Type, Entity
5/25/2021,-6.30,-,"Miscellaneous Payment  ","PAYPAL                       "
5/21/2021,-700.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
5/21/2021,-73.39,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
5/20/2021,731.07,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
5/18/2021,-149.99,-,"POS Purchase           ","CNB #018                 PERTH"
5/18/2021,-79.99,-,"POS Purchase           ","FPOS CNB #018            PERTH"
5/17/2021,-12.52,-,"POS Purchase           ","FPOS DAIRY QUEEN #12192  WOODS"
5/17/2021,-30.00,-,"POS Purchase           ","MURRAY'S IRVING          BEARD"
5/17/2021,-2.02,-,"POS Purchase           ","FPOS TIM HORTONS #2598   WOODS"
5/17/2021,-8.37,-,"POS Purchase           ","MCDONALD'S #1808         FREDE"
5/15/2021,-50.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
5/14/2021,-31.81,-,"POS Purchase           ","OPOS Greco Online        90289"
5/14/2021,-29.79,-,"POS Purchase           ","FPOS PETRO-CANADA        LAKE "
5/14/2021,-58.27,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
5/13/2021,-21.15,-,"POS Purchase           ","OPOS 16.99 WNBA LIVEACCESPLAIN"
5/13/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
5/11/2021,-18.36,-,"POS Purchase           ","FPOS MARK'S THE SPOT     BEECH"
5/7/2021,-49.60,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
5/6/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
5/3/2021,-477.50,000000038,"Cheque                 ",""
4/30/2021,-16.95,-,"Service Charge         ","MONTHLY FEES"
4/30/2021,-60.00,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
4/30/2021,-100.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
4/29/2021,-9.99,-,"POS Purchase           ","FPOS TIM HORTONS #2853   BRIST"
4/29/2021,-2000.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
4/29/2021,3000.00,-,"DEPOSIT                ","INTERAC E-TRANSFER RTN"
4/29/2021,-3000.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
4/29/2021,-22.99,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
4/29/2021,-22.99,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
4/29/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
4/27/2021,-20.00,-,"Miscellaneous Payment  ","PAYPAL                       "
4/26/2021,-6.53,-,"Miscellaneous Payment  ","PAYPAL                       "
4/23/2021,-6.08,-,"POS Purchase           ","FPOS SMITH DRUGS         FLORE"
4/23/2021,-75.01,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
4/22/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
4/21/2021,25.00,-,"Credit Memo            ","ADJUSTMENT OTHER"
4/21/2021,-32.55,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
4/20/2021,-15.17,-,"Miscellaneous Payment  ","PAYPAL                       "
4/19/2021,-16.53,-,"POS Purchase           ","FPOS DAIRY QUEEN #12192  WOODS"
4/19/2021,-161.51,-,"POS Purchase           ","WALMART STORE #1043      WOODS"
4/19/2021,-15.26,-,"POS Purchase           ","FPOS WENDY'S RESTAURANT QFREDE"
4/16/2021,-55.00,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
4/15/2021,-11.99,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
4/15/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
4/13/2021,-30.66,-,"Miscellaneous Payment  ","PAYPAL                       "
4/10/2021,-10.32,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
4/9/2021,-55.01,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
4/8/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
4/1/2021,-477.50,000000037,"Cheque                 ",""
4/1/2021,-55.00,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
4/1/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
4/1/2021,149.00,-,"Provincial Payment     ","CANADA                       "
3/31/2021,-49.99,-,"POS Purchase","FPOS CNB #018            PERTH ANDOVNBCA"
3/31/2021,-110.99,-,"POS Purchase","CNB #018                 PERTH ANDOVNBCA"
3/26/2021,-55.01,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
3/25/2021,-28.99,-,"POS Purchase           ","OPOS AMZN Mktp CA*K09SB8DWWW.A"
3/25/2021,141.97,-,"Correction             ","OPOS AMZN Mktp CA*K09SB8DWWW.A"
3/25/2021,-112.98,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/25/2021,-141.97,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/25/2021,-28.97,-,"POS Purchase           ","OPOS Amazon.ca           AMAZO"
3/25/2021,-180.43,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/25/2021,-33.51,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/25/2021,-28.99,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/25/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
3/24/2021,-6.53,-,"Miscellaneous Payment  ","PAYPAL                       "
3/22/2021,-59.99,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/20/2021,-93.46,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/20/2021,-47.96,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/19/2021,-250.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
3/19/2021,-70.00,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
3/18/2021,-29.89,-,"Miscellaneous Payment  ","PAYPAL                       "
3/18/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
3/17/2021,-25.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
3/15/2021,-10.09,-,"POS Purchase           ","FPOS MARK'S THE SPOT     BEECH"
3/15/2021,-26.99,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
3/13/2021,-7.69,-,"POS Purchase           ","FPOS Subway              Water"
3/13/2021,-35.00,-,"POS Purchase           ","FPOS WATERVILLE IRVING 15WATER"
3/13/2021,-1.46,-,"POS Purchase           ","FPOS DAIRY QUEEN #12192  WOODS"
3/12/2021,-25.49,-,"POS Purchase           ","FPOS PETRO-CANADA        LAKE "
3/12/2021,-55.00,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
3/11/2021,-11.61,-,"POS Purchase           ","FPOS TIM HORTONS #2853   BRIST"
3/11/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
3/5/2021,-10.98,-,"POS Purchase           ","DINER DOWN UNDER         BATH "
3/4/2021,-4.38,-,"POS Purchase           ","CENTREVILLE VALUFOODS    CENTR"
3/4/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
3/3/2021,-79.42,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
3/2/2021,-5.07,-,"Miscellaneous Payment  ","PAYPAL                       "
3/2/2021,-10.54,-,"POS Purchase           ","FPOS MARK'S THE SPOT     BEECH"
3/1/2021,-477.50,000000036,"Cheque                 ",""
2/27/2021,-15.95,-,"Service Charge         ","MONTHLY FEES"
2/27/2021,-11.44,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
2/26/2021,-5.51,-,"POS Purchase           ","FPOS SMITH DRUGS         FLORE"
2/26/2021,-72.55,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
2/26/2021,-150.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
2/25/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
2/24/2021,-6.59,-,"Miscellaneous Payment  ","PAYPAL                       "
2/18/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
2/17/2021,-71.73,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
2/13/2021,-55.28,-,"POS Purchase           ","TINA'S KITCHEN           HARTL"
2/12/2021,-19.73,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
2/12/2021,-98.90,-,"POS Purchase           ","FPOS WALMART STORE #3032 FREDE"
2/12/2021,-175.93,-,"POS Purchase           ","WALMART STORE #3032      FREDE"
2/12/2021,-89.98,-,"POS Purchase           ","CNB #016                 FREDE"
2/12/2021,-60.00,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
2/11/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
2/9/2021,-89.99,-,"Miscellaneous Payment  ","PAYPAL                       "
2/5/2021,-5.74,-,"POS Purchase           ","OPOS PrimeVideo.ca       www.a"
2/5/2021,-65.43,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
2/4/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
2/1/2021,-477.50,000000035,"Cheque                 ",""
2/1/2021,-4.60,-,"POS Purchase           ","FPOS GCDS625 BRISTOL     BRIST"
1/30/2021,-15.95,-,"Service Charge         ","MONTHLY FEES"
1/29/2021,-60.00,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
1/28/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
1/26/2021,-6.64,-,"Miscellaneous Payment  ","PAYPAL                       "
1/25/2021,-85.99,-,"POS Purchase           ","FPOS CNB #018            PERTH"
1/22/2021,-55.00,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
1/21/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
1/18/2021,-41.41,-,"POS Purchase           ","FPOS RAYNER'S AUTOMOTIVE FLORE"
1/15/2021,-10.91,-,"Miscellaneous Payment  ","PAYPAL                       "
1/15/2021,-20.27,-,"Miscellaneous Payment  ","PAYPAL                       "
1/15/2021,-62.15,-,"POS Purchase           ","FLORENCEVILLE IRVING     WEST "
1/14/2021,602.30,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
1/13/2021,-50.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
1/8/2021,-5.51,-,"POS Purchase           ","FPOS SMITH DRUGS         FLORE"
1/7/2021,-55.01,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
1/5/2021,-50.00,-,"POS Purchase           ","FPOS CNB #018            PERTH"
1/5/2021,-251.75,-,"POS Purchase           ","OPOS 191.88 CODECADEMY   +1844"
1/5/2021,16.84,-,"DEPOSIT                ","INTERAC E-TRANSFER"
1/5/2021,-16.84,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
1/5/2021,-38.88,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
1/5/2021,149.00,-,"Provincial Payment     ","CANADA                       "
1/4/2021,-477.50,000000034,"Cheque                 ",""
12/31/2020,-16.09,-,"Miscellaneous Payment  ","PAYPAL                       "
12/31/2020,-7.69,-,"Miscellaneous Payment  ","PAYPAL                       "
12/31/2020,-15.95,-,"Service Charge         ","MONTHLY FEES"
12/30/2020,-49.13,-,"POS Purchase           ","OPOS MARKS.COM/LEQUIPEUR.86680"
12/30/2020,-28.31,-,"POS Purchase           ","OPOS MARKS.COM/LEQUIPEUR.86680"
12/29/2020,-29.19,-,"Miscellaneous Payment  ","PAYPAL                       "
12/29/2020,-48.54,-,"POS Purchase           ","OPOS MARKS.COM/LEQUIPEUR.86680"
12/29/2020,125.98,-,"Correction             ","CORRECTION                    "
12/29/2020,-125.98,-,"POS Purchase           ","OPOS MARKS.COM/LEQUIPEUR.86680"
12/24/2020,-6.74,-,"Miscellaneous Payment  ","PAYPAL                       "
12/24/2020,-5.49,-,"Miscellaneous Payment  ","PAYPAL                       "
12/24/2020,285.00,-,"Accounts Payable       ","UNIVERSITY OF NEW BRUNSWICK  "
12/21/2020,-70.00,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
12/16/2020,500.00,-,"ABM Deposit",""
12/11/2020,-57.91,-,"POS Purchase           ","GIANT TIGER #118         GRAND"
12/10/2020,250.00,-,"ABM Deposit",""
12/3/2020,-3.24,-,"POS Purchase           ","FPOS FLORENCEVILLE ESSO  WEST "
12/1/2020,-477.50,000000033,"Cheque                 ",""
11/30/2020,-643.80,-,"Miscellaneous Payment  ","NSLSC                        "
11/30/2020,-37.36,-,"Miscellaneous Payment  ","PAYPAL                       "
11/30/2020,-100.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
11/30/2020,-605.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
11/27/2020,1000.00,-,"DEPOSIT                ",""
11/25/2020,-56.96,-,"Miscellaneous Payment  ","PAYPAL                       "
11/25/2020,-2.89,-,"Miscellaneous Payment  ","PAYPAL                       "
11/25/2020,-6.82,-,"Miscellaneous Payment  ","PAYPAL                       "
11/16/2020,-2.22,-,"POS Purchase           ","FPOS TIM HORTONS #2598   WOODS"
11/16/2020,-11.48,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
11/13/2020,-34.44,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
11/12/2020,-57.24,-,"POS Purchase           ","FPOS BRENNAN HOME HARDWARFLORE"
11/10/2020,-47.99,-,"POS Purchase           ","FPOS CNB #018            PERTH"
11/10/2020,-9.99,-,"POS Purchase           ","OPOS Spotify P1218E1D37  Stock"
11/9/2020,-59.30,-,"POS Purchase           ","MARK'S THE SPOT          BEECH"
11/3/2020,-4.00,-,"POS Purchase           ","OPOS SC* ONLINE PAYMENT  INTER"
11/2/2020,-477.50,000000032,"Cheque                 ",""
11/2/2020,-643.80,-,"Miscellaneous Payment  ","NSLSC                        "
10/26/2020,-6.83,-,"Miscellaneous Payment  ","PAYPAL                       "
10/26/2020,-60.00,-,"POS Purchase           ","FPOS MARK'S THE SPOT     BEECH"
10/20/2020,-44.99,-,"POS Purchase           ","FPOS CNB #018            PERTH"
10/16/2020,-11.83,-,"Miscellaneous Payment  ","PAYPAL                       "
10/13/2020,-60.00,-,"POS Purchase           ","FPOS MARK'S THE SPOT     BEECH"
10/10/2020,-9.99,-,"POS Purchase           ","OPOS Spotify P11ADFDDFA  Stock"
10/9/2020,-129.88,-,"POS Purchase           ","WALMART STORE #3032      FREDE"
10/5/2020,149.00,-,"Provincial Payment     ","CANADA                       "
10/3/2020,-4.00,-,"POS Purchase           ","OPOS CV-Resume           85521"
10/1/2020,-477.50,000000031,"Cheque                 ",""
9/28/2020,-84.39,-,"Miscellaneous Payment  ","PAYPAL                       "
9/24/2020,-6.91,-,"Miscellaneous Payment  ","PAYPAL                       "
9/22/2020,-47.79,-,"POS Purchase           ","FPOS MARK'S THE SPOT     BEECH"
9/17/2020,4.99,-,"Correction             ","460254728065740               "
9/15/2020,-4.99,-,"Debit Memo             ","ADJUSTMENT OTHER"
9/10/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P1141E5D3C  Stock"
9/8/2020,-7.69,-,"POS Purchase           ","FPOS MCDONALD'S #6659   QGRAND"
9/5/2020,-20.00,-,"POS Purchase           ","CIRCLE K / IRVING #201   WAASI"
9/4/2020,40.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
9/4/2020,1250.00,-,"Federal Payment        ","CANADA                       "
9/3/2020,23.38,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
9/3/2020,-4.00,-,"POS Purchase           ","OPOS SC* ONLINE PAYMENT  INTER"
9/2/2020,-30.00,-,"POS Purchase           ","FPOS IRVING/FLORENCEVILLEFLORE"
9/1/2020,-477.50,-,"Miscellaneous Payment  ","Colpitts Developments        "
9/1/2020,-32.55,-,"POS Purchase           ","OPOS Amazon.ca           AMAZO"
8/29/2020,-6.20,-,"POS Purchase           ","DAIRY QUEEN #12192       WOODS"
8/27/2020,-22.48,-,"POS Purchase           ","FPOS CO-OP #9283         FLORE"
8/27/2020,-7.50,-,"Service Charge         ",""
8/27/2020,-467.50,-,"Debit Memo             ","DRAFT PURCHASE"
8/26/2020,-28.74,-,"Miscellaneous Payment  ","PAYPAL                       "
8/25/2020,-6.86,-,"Miscellaneous Payment  ","PAYPAL                       "
8/11/2020,-32.42,-,"Miscellaneous Payment  ","PAYPAL                       "
8/10/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P10DB0D4BE  Stock"
8/6/2020,-90.00,-,"POS Purchase           ","FPOS SNB - BRISTOL       FLORE"
8/5/2020,-23.38,-,"POS Purchase           ","OPOS 16.99 WNBA LIVEACCESPLAIN"
8/5/2020,1.37,-,"Correction             ","580212122550514               "
8/4/2020,-467.50,000000029,"Cheque                 ",""
8/3/2020,-4.00,-,"POS Purchase           ","OPOS SC* ONLINE PAYMENT  INTER"
7/30/2020,-162.00,-,"POS Purchase           ","OPOS SERVICE NB - ONLINE FREDE"
7/29/2020,-1.37,-,"POS Purchase           ","OPOS 1.00 WNBA LIVEACCESSPLAIN"
7/28/2020,1250.00,-,"Federal Payment        ","CANADA                       "
7/24/2020,-6.99,-,"Miscellaneous Payment  ","PAYPAL                       "
7/24/2020,63.20,-,"Correction             ","380199712163293               "
7/23/2020,-2.02,-,"POS Purchase           ","FPOS TIM HORTONS #2848   FREDE"
7/23/2020,-2.52,-,"POS Purchase           ","FPOS TIM HORTONS #2598   WOODS"
7/17/2020,-63.20,-,"POS Purchase           ","OPOS PAPA JOHN'S PIZZA #1FREDE"
7/17/2020,42.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
7/17/2020,-32.60,-,"POS Purchase           ","FPOS MARITIME BUS        FREDE"
7/16/2020,-43.19,-,"POS Purchase           ","FPOS WATERVILLE IRVING 15WATER"
7/10/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P107B0FD46  Stock"
7/9/2020,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
7/9/2020,-467.50,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
7/8/2020,467.50,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
7/8/2020,-6.66,-,"POS Purchase           ","FPOS TIM HORTONS #2598   WOODS"
7/6/2020,-50.00,-,"POS Purchase           ","MURRAY'S IRVING          BEARD"
7/3/2020,-4.00,-,"POS Purchase           ","OPOS BLD*Resume          85521"
7/3/2020,149.00,-,"Provincial Payment     ","CANADA                       "
6/30/2020,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
6/30/2020,-467.50,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
6/29/2020,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
6/29/2020,-50.00,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
6/24/2020,-7.06,-,"Miscellaneous Payment  ","PAYPAL                       "
6/19/2020,1250.00,-,"Federal Payment        ","CANADA                       "
6/18/2020,-29.99,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
6/11/2020,362.50,-,"DEPOSIT                ","MB-DEP"
6/10/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P1016DF90E  Stock"
6/8/2020,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
6/8/2020,-467.50,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
6/3/2020,-4.00,-,"POS Purchase           ","OPOS BLD*Resume          85521"
5/26/2020,-7.28,-,"Miscellaneous Payment  ","PAYPAL                       "
5/25/2020,-10.25,-,"POS Purchase           ","FPOS TACO BOYZ           FREDE"
5/22/2020,-67.96,-,"POS Purchase           ","FPOS SOBEYS #375         FREDE"
5/21/2020,-467.50,000000027,"Cheque                 ",""
5/20/2020,1250.00,-,"Federal Payment        ","CANADA                       "
5/14/2020,-10.00,-,"Miscellaneous Payment  ","PAYPAL                       "
5/13/2020,-32.32,-,"POS Purchase           ","FPOS 9283 CARLETON CO-OP FLORE"
5/11/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P0FAEF62A7  Stock"
5/5/2020,-519.83,-,"Miscellaneous Payment  ","EnergieNB Power              "
5/4/2020,-520.38,-,"POS Purchase           ","OPOS BELL ALIANT ONLINE #SAINT"
5/4/2020,-4.00,-,"POS Purchase           ","OPOS BLD*Resume          85521"
5/1/2020,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
5/1/2020,-100.00,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
4/29/2020,100.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
4/29/2020,460.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
4/27/2020,-25.88,-,"POS Purchase           ","FPOS MCDONALD'S #1808    FREDE"
4/24/2020,-50.00,-,"Miscellaneous Payment  ","PAYPAL                       "
4/24/2020,-7.38,-,"Miscellaneous Payment  ","PAYPAL                       "
4/18/2020,-1.00,-,"POS Purchase           ","OPOS BLD*Resume          85521"
4/18/2020,-1.95,-,"POS Purchase           ","OPOS BLD*Resume          85521"
4/18/2020,-122.57,-,"POS Purchase           ","WAL-MART #1067           FREDE"
4/16/2020,-18.96,-,"POS Purchase           ","OPOS DOMINO'S PIZZA #1090FREDE"
4/16/2020,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
4/16/2020,-140.00,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
4/11/2020,-56.37,-,"POS Purchase           ","OPOS PAPA JOHN'S PIZZA #1FREDE"
4/11/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P0F4ACEEDB  Stock"
4/9/2020,-58.96,-,"POS Purchase           ","FPOS IRVING/BOAT CLUB    FREDE"
4/9/2020,290.00,-,"GST                    ","CANADA                       "
4/3/2020,-46.97,-,"POS Purchase           ","OPOS PAPA JOHN'S PIZZA #1FREDE"
4/3/2020,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
4/3/2020,-270.00,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
4/3/2020,147.50,-,"Provincial Payment     ","CANADA                       "
4/1/2020,-370.00,-,"Rent/Lease             ","SKYFALL                      "
3/28/2020,2514.00,-,"DEPOSIT                ","MB-DEP"
3/26/2020,-17.06,-,"POS Purchase           ","FPOS SOBEYS #375         FREDE"
3/26/2020,-8.04,-,"POS Purchase           ","FPOS CANADIAN TIRE #0035 FREDE"
3/24/2020,-7.50,-,"Miscellaneous Payment  ","PAYPAL                       "
3/23/2020,100.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
3/20/2020,10.00,-,"DEPOSIT                ","PC-EMAIL MONEY TRF"
3/18/2020,20.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
3/14/2020,20.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
3/12/2020,-40.10,-,"POS Purchase           ","FPOS IRVING/BOAT CLUB    FREDE"
3/12/2020,-12.91,-,"POS Purchase           ","RINGO'S BAR & GRILL      FREDE"
3/11/2020,-34.15,-,"POS Purchase           ","FPOS SOBEYS #349         FREDE"
3/10/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P0EE6E8930  Stock"
3/9/2020,98.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
3/7/2020,-7.97,-,"POS Purchase           ","FPOS TIM HORTONS #0276   FREDE"
3/4/2020,-55.53,-,"POS Purchase           ","PIZZA HUT                FREDE"
3/4/2020,-4.44,-,"POS Purchase           ","FPOS TIM HORTONS #2131   FREDE"
3/3/2020,-200.00,-,"Miscellaneous Payment  ","EnergieNB Power              "
3/2/2020,-179.77,-,"Miscellaneous Payment  ","EnergieNB Power              "
