Transaction Date, Transaction Amount, Notes, Transaction Type, Entity
3/2/2020,-370.00,-,"Rent/Lease             ","SKYFALL                      "
3/2/2020,-11.65,-,"POS Purchase           ","FPOS A&W MAIN STREET PLAZFREDE"
2/29/2020,-7.97,-,"POS Purchase           ","FPOS TIM HORTONS #2131   FREDE"
2/26/2020,-1.49,-,"POS Purchase           ","FPOS ATLANTIC SUPERSTORE FREDE"
2/25/2020,-6.87,-,"Miscellaneous Payment  ","PAYPAL                       "
2/24/2020,-8.94,-,"POS Purchase           ","FPOS MCDONALD'S #29096   FREDE"
2/24/2020,-28.11,-,"POS Purchase           ","WAL-MART #3032           FREDE"
2/24/2020,-57.31,-,"POS Purchase           ","FPOS CIRCLE K / IRVING  QFREDE"
2/22/2020,-9.68,-,"POS Purchase           ","FPOS TIM HORTONS #1705   FREDE"
2/21/2020,-36.79,-,"Miscellaneous Payment  ","PAYPAL                       "
2/20/2020,-21.24,-,"POS Purchase           ","FPOS SOBEYS #849         FREDE"
2/19/2020,-21.15,-,"POS Purchase           ","DOMINO'S PIZZA #10902    FREDE"
2/18/2020,-29.89,-,"Miscellaneous Payment  ","PAYPAL                       "
2/18/2020,-8.82,-,"POS Purchase           ","FPOS MCDONALD'S #29097   OROMO"
2/18/2020,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
2/18/2020,-100.00,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
2/17/2020,-12.05,-,"POS Purchase           ","FPOS CANADIAN TIRE #0035 FREDE"
2/17/2020,-11.10,-,"POS Purchase           ","FPOS TIM HORTONS #0276   FREDE"
2/15/2020,-8.74,-,"POS Purchase           ","FPOS BK #03282           FREDE"
2/15/2020,-51.10,-,"POS Purchase           ","FPOS CLIFFE STREET GRAB NFREDE"
2/14/2020,-23.57,-,"POS Purchase           ","FPOS SOBEYS #375         FREDE"
2/14/2020,-6.85,-,"POS Purchase           ","FPOS TIM HORTONS #0176   FREDE"
2/13/2020,-100.00,-,"Miscellaneous Payment  ","PAYPAL                       "
2/12/2020,-11.01,-,"POS Purchase           ","FPOS DAIRY QUEEN #12079  FREDE"
2/12/2020,-71.63,-,"POS Purchase           ","WALMARTSTORE#1067        FREDE"
2/12/2020,-180.00,-,"ABM Withdrawal",""
2/11/2020,-12.01,-,"POS Purchase           ","FPOS MCDONALD'S #5483    FREDE"
2/10/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P0E89649A6  Stock"
2/5/2020,-12.49,-,"POS Purchase           ","FPOS 9283 CARLETON CO-OP FLORE"
2/3/2020,-370.00,-,"Rent/Lease             ","SKYFALL                      "
2/3/2020,-4.00,-,"POS Purchase           ","FPOS TIM HORTONS #2598   WOODS"
2/3/2020,-65.00,-,"POS Purchase           ","FPOS MURRAY'S IRVING     BEARD"
1/31/2020,-471.42,-,"POS Purchase           ","OPOS BELL ALIANT ONLINE #SAINT"
1/30/2020,-6.89,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
1/30/2020,-12.29,-,"POS Purchase           ","SOBEYS 375               FREDE"
1/29/2020,-25.49,-,"POS Purchase           ","FPOS HANWELL ROAD IRVING HANWE"
1/29/2020,-8.05,-,"POS Purchase           ","FPOS BURGER KING #20441  FREDE"
1/29/2020,-34.50,-,"POS Purchase           ","FPOS MOFFITT'S CONVENIENCHARVE"
1/28/2020,-13.20,-,"POS Purchase           ","FPOS A&W #7218           FREDE"
1/27/2020,-8.04,-,"POS Purchase           ","FPOS BURGER KING #23282  FREDE"
1/27/2020,-61.95,-,"POS Purchase           ","FPOS IRVING/BOAT CLUB    FREDE"
1/25/2020,-16.41,-,"POS Purchase           ","FPOS PITA PIT            FREDE"
1/24/2020,-6.81,-,"Miscellaneous Payment  ","PAYPAL                       "
1/23/2020,-13.10,-,"POS Purchase           ","FPOS WENDY'S RESTAURANT QFREDE"
1/21/2020,-16.20,-,"POS Purchase           ","FPOS TACO BOYZ           FREDE"
1/21/2020,-52.02,-,"POS Purchase           ","WAL-MART #3032           FREDE"
1/21/2020,-100.00,-,"ABM Withdrawal",""
1/18/2020,-8.57,-,"POS Purchase           ","FPOS TIM HORTONS # 945   FREDE"
1/17/2020,-43.47,-,"POS Purchase           ","SOBEYS 375               FREDE"
1/15/2020,-11.60,-,"POS Purchase           ","FPOS BURGER KING #20441  FREDE"
1/15/2020,-6.85,-,"POS Purchase           ","FPOS TIM HORTONS #2131   FREDE"
1/14/2020,-24.82,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
1/13/2020,-50.00,-,"POS Purchase           ","FPOS CIRCLE K / IRVING  QFREDE"
1/10/2020,-13.09,-,"POS Purchase           ","FPOS A&W MAIN STREET PLAZFREDE"
1/10/2020,1189.00,-,"ABM Deposit",""
1/10/2020,-4.99,-,"POS Purchase           ","OPOS Spotify P0E2BD45D7  Stock"
1/9/2020,-7.29,-,"POS Purchase           ","FPOS MCDONALD'S #5483    FREDE"
1/7/2020,-4.01,-,"POS Purchase           ","FPOS IRVING STATION #1170CHIPM"
1/7/2020,-61.89,-,"POS Purchase           ","FPOS IRVING/BOAT CLUB    FREDE"
1/6/2020,-255.95,-,"POS Purchase           ","OPOS 191.88 CODECADEMY   91728"
1/6/2020,-21.58,-,"POS Purchase           ","WAL-MART #3032           FREDE"
1/3/2020,147.50,-,"Provincial Payment     ","CANADA                       "
1/2/2020,-370.00,-,"Rent/Lease             ","SKYFALL                      "
12/27/2019,-13.89,-,"POS Purchase           ","FPOS MANCHU WOK RESTAURANFREDE"
12/27/2019,155.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
12/24/2019,-6.83,-,"Miscellaneous Payment  ","PAYPAL                       "
12/23/2019,-30.00,-,"POS Purchase           ","MURRAY'S IRVING          BEARD"
12/23/2019,-8.80,-,"POS Purchase           ","FPOS TIM HORTONS #2131   FREDE"
12/21/2019,-14.81,-,"POS Purchase           ","FPOS SUBWAY # 5290       FREDE"
12/21/2019,-180.00,-,"ABM Withdrawal",""
12/19/2019,-3.16,-,"POS Purchase           ","FPOS TIM HORTONS #1791   MINTO"
12/18/2019,-44.88,-,"POS Purchase           ","DOMINO'S PIZZA #10902    FREDE"
12/17/2019,-27.51,-,"POS Purchase           ","FPOS SOBEYS #849        QFREDE"
12/14/2019,-9.49,-,"POS Purchase           ","FPOS MCDONALD'S #1808    FREDE"
12/13/2019,-24.00,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
12/12/2019,-15.68,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
12/10/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0DCCEAEA3  Stock"
12/9/2019,-4.13,-,"POS Purchase           ","FPOS PAPA JOHN'S PIZZA   FREDE"
12/9/2019,-21.83,-,"POS Purchase           ","OPOS PAPA JOHN'S PIZZA #1FREDE"
12/9/2019,-16.12,-,"POS Purchase           ","FPOS A&W #7218           FREDE"
12/7/2019,-13.00,-,"POS Purchase           ","PITA PIT                 FREDE"
12/7/2019,-27.45,-,"POS Purchase           ","CHECKER CAB              RICHI"
12/6/2019,-68.99,-,"Miscellaneous Payment  ","PAYPAL                       "
12/6/2019,-4.11,-,"POS Purchase           ","TIM HORTON'S T-DOMESTI   MISSI"
12/2/2019,-370.00,-,"Rent/Lease             ","SKYFALL                      "
12/2/2019,-3.76,-,"POS Purchase           ","FPOS TIM HORTON'S T-DOMESMISSI"
12/2/2019,1.12,-,"DEPOSIT                ",""
12/2/2019,-9.51,-,"POS Purchase           ","FPOS MCDONALD'S #29096   FREDE"
12/2/2019,-3.45,-,"POS Purchase           ","WAL-MART #3032           FREDE"
12/2/2019,-42.19,-,"POS Purchase           ","WAL-MART #3032           FREDE"
12/2/2019,-10.90,-,"POS Purchase           ","FPOS TIM HORTONS #0176   FREDE"
11/29/2019,-102.67,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
11/29/2019,-459.94,-,"POS Purchase           ","OPOS Amazon.ca           Seatt"
11/28/2019,-6.21,-,"POS Purchase           ","FPOS UNIVERSITY OF NEW BRFREDE"
11/26/2019,-6.89,-,"Miscellaneous Payment  ","PAYPAL                       "
11/26/2019,-12.75,-,"POS Purchase           ","FPOS MARY BROWN'S 3500   FREDE"
11/25/2019,-33.72,-,"POS Purchase           ","FPOS SOBEYS 375          FREDE"
11/21/2019,-5.74,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
11/20/2019,-24.13,-,"POS Purchase           ","CANNON'S CROSS PUB       FREDE"
11/20/2019,-79.90,-,"POS Purchase           ","FPOS CIRCLE K / IRVING  QFREDE"
11/19/2019,-15.90,-,"POS Purchase           ","OPOS Amazon.ca           Seatt"
11/18/2019,-135.30,-,"Miscellaneous Payment  ","EnergieNB Power              "
11/18/2019,-15.99,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
11/18/2019,-180.00,-,"ABM Withdrawal",""
11/18/2019,-12.05,-,"POS Purchase           ","FPOS WENDY'S RESTAURANT QFREDE"
11/18/2019,-132.17,-,"POS Purchase           ","WALMARTSTORE#1067        FREDE"
11/16/2019,-0.00,-,"Service Charge         ","PC-FREE EMAIL MONEY TRF"
11/16/2019,-60.00,-,"WITHDRAWAL             ","PC-EMAIL MONEY TRF"
11/16/2019,-350.01,-,"POS Purchase           ","OPOS BELL ALIANT ONLINE #SAINT"
11/16/2019,-11.49,-,"POS Purchase           ","FPOS SUBWAY # 11109      FREDE"
11/13/2019,-12.75,-,"POS Purchase           ","FPOS BURGER KING #19448  WATER"
11/13/2019,-40.00,-,"POS Purchase           ","FPOS WATERVILLE IRVING 15WATER"
11/13/2019,-13.33,-,"POS Purchase           ","FPOS MARY BROWN'S 3500   FREDE"
11/13/2019,-180.00,-,"POS Purchase           ","SERVICE CANADA FREDERI   FREDE"
11/12/2019,-23.00,-,"POS Purchase           ","HARVEY STUDIOS           FREDE"
11/12/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0D70EFBFE  Stock"
11/12/2019,-7.77,-,"POS Purchase           ","FPOS TIM HORTONS #0276   FREDE"
11/9/2019,-10.45,-,"POS Purchase           ","BURGER KING #20441       FREDE"
11/7/2019,-99.99,-,"POS Purchase           ","CNB #016                 FREDE"
11/5/2019,-30.15,-,"POS Purchase           ","FPOS SOBEYS #849        QFREDE"
11/4/2019,-70.00,-,"POS Purchase           ","CIRCLE K / IRVING #201   FREDE"
11/1/2019,-370.00,-,"Rent/Lease             ","SKYFALL                      "
11/1/2019,-6.90,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
10/29/2019,-75.01,-,"POS Purchase           ","SOBEYS #849        QPS   FREDE"
10/28/2019,-10.45,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
10/26/2019,-13.33,-,"POS Purchase           ","FPOS MARY BROWN'S 3500   FREDE"
10/25/2019,-91.99,-,"Miscellaneous Payment  ","PAYPAL                       "
10/24/2019,-6.80,-,"Miscellaneous Payment  ","PAYPAL                       "
10/22/2019,-28.74,-,"Miscellaneous Payment  ","PAYPAL                       "
10/18/2019,-32.08,-,"POS Purchase           ","FPOS SOBEYS #849        QFREDE"
10/15/2019,-180.00,-,"ABM Withdrawal",""
10/15/2019,-60.00,-,"POS Purchase           ","FPOS WATERVILLE IRVING 15WATER"
10/12/2019,-6.24,-,"POS Purchase           ","FPOS TIM HORTONS #2131   FREDE"
10/10/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0D1553710  Stock"
10/8/2019,-7.97,-,"POS Purchase           ","FPOS TIM HORTONS #0176   FREDE"
10/8/2019,-59.98,-,"POS Purchase           ","FPOS SOBEYS #849        QFREDE"
10/5/2019,-30.00,-,"POS Purchase           ","DOMINO'S PIZZA #10902    FREDE"
10/4/2019,-11.26,-,"POS Purchase           ","FPOS MCDONALD'S #1808    FREDE"
10/4/2019,-6.90,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
10/4/2019,147.50,-,"Provincial Payment     ","CANADA                       "
10/3/2019,-7.97,-,"POS Purchase           ","FPOS TIM HORTONS #0176   FREDE"
10/2/2019,-0.00,-,"Service Charge         ","MB-FREE EMAIL MONEY TRF"
10/2/2019,-60.00,-,"WITHDRAWAL             ","MB-EMAIL MONEY TRF"
10/1/2019,-370.00,-,"Rent/Lease             ","SKYFALL                      "
10/1/2019,-47.46,-,"POS Purchase           ","GRECO PIZZA              FREDE"
9/27/2019,-10.92,-,"POS Purchase           ","CELLAR PUB (CA100)       FREDE"
9/24/2019,-6.89,-,"Miscellaneous Payment  ","PAYPAL                       "
9/24/2019,-32.50,-,"POS Purchase           ","FPOS SOBEYS #849        QFREDE"
9/21/2019,-12.16,-,"POS Purchase           ","FPOS WENDY'S RESTAURANT QFREDE"
9/21/2019,-7.63,-,"POS Purchase           ","FPOS SOBEYS 375          FREDE"
9/21/2019,-70.18,-,"POS Purchase           ","FPOS CIRCLE K / IRVING  QFREDE"
9/19/2019,-6.89,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
9/17/2019,-6.90,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
9/14/2019,-14.79,-,"POS Purchase           ","FPOS A&W #7218           FREDE"
9/12/2019,-6.90,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
9/11/2019,-180.00,-,"ABM Withdrawal",""
9/10/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0CB386227  Stock"
9/5/2019,-191.78,-,"POS Purchase           ","WAL-MART #3032           FREDE"
9/4/2019,4207.25,-,"Student Loan           ","NB STUDENT LOAN              "
9/4/2019,-82.00,-,"POS Purchase           ","UNB FINANCIAL SERVICES   FREDE"
9/3/2019,-370.00,-,"Rent/Lease             ","SKYFALL                      "
9/3/2019,-5.75,-,"POS Purchase           ","FPOS TIM HORTONS #2853   BRIST"
8/30/2019,-11.49,-,"Miscellaneous Payment  ","PAYPAL                       "
8/27/2019,-50.16,-,"Miscellaneous Payment  ","EnergieNB Power              "
8/27/2019,-326.01,-,"POS Purchase           ","OPOS BELL ALIANT ONLINE #SAINT"
8/26/2019,-48.00,-,"POS Purchase           ","FPOS PERTH ANDOVER/IRVINGPERTH"
8/23/2019,-27.24,-,"POS Purchase           ","FPOS TORONTO ZOO - RETAILSCARB"
8/23/2019,-13.59,-,"POS Purchase           ","FPOS TORONTO ZOO - RETAILSCARB"
8/22/2019,-58.58,-,"POS Purchase           ","HOCKEY HALL OF FAME      TORON"
8/22/2019,-88.14,-,"POS Purchase           ","CN TOWER RETAIL STORE    TORON"
8/21/2019,-39.52,-,"POS Purchase           ","WAL-MART #3054           MISSI"
8/19/2019,-10.99,-,"POS Purchase           ","OPOS STEAMGAMES.COM      425-9"
8/16/2019,520.00,-,"ABM Deposit",""
8/16/2019,-13.86,-,"POS Purchase           ","DINER DOWN UNDER         BATH "
8/10/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0C3751BE6  Stock"
8/8/2019,-12.24,-,"POS Purchase           ","FPOS BURGER KING #19448  WATER"
8/5/2019,-13.66,-,"POS Purchase           ","FPOS SUBWAY # 5290       FREDE"
8/5/2019,-55.00,-,"POS Purchase           ","FPOS IRVING #15886       WOODS"
8/2/2019,360.00,-,"ABM Deposit",""
8/1/2019,-370.00,-,"Rent/Lease             ","SKYFALL                      "
8/1/2019,-162.00,-,"POS Purchase           ","OPOS SERVICE NB - ONLINE FREDE"
7/26/2019,600.00,-,"ABM Deposit",""
7/18/2019,-0.00,-,"Service Charge         ","PC-FREE EMAIL MONEY TRF"
7/18/2019,-40.00,-,"WITHDRAWAL             ","PC-EMAIL MONEY TRF"
7/16/2019,-6.88,-,"POS Purchase           ","BURGER KING #19448       WATER"
7/16/2019,-61.87,-,"POS Purchase           ","FPOS WATERVILLE IRVING 15WATER"
7/15/2019,-102.13,-,"POS Purchase           ","9283 CARLETON CO-OP      FLORE"
7/11/2019,-183.95,-,"POS Purchase           ","OPOS FITBIT, INC. UF3CV4387762"
7/10/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0BC0B1632  Stock"
7/8/2019,67.12,-,"Insurance              ","AMERICAN INCOME              "
7/5/2019,297.00,-,"ABM Deposit",""
7/5/2019,147.50,-,"Provincial Payment     ","CANADA                       "
7/4/2019,-31.98,-,"POS Purchase           ","FPOS DOMINO'S PIZZA #1090FREDE"
7/4/2019,-315.69,-,"POS Purchase           ","OPOS BELL ALIANT ONLINE #SAINT"
7/4/2019,-6.90,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
7/3/2019,-320.00,-,"Correction             ",""
7/3/2019,340.00,-,"DEPOSIT                ",""
7/2/2019,-370.00,-,"Rent/Lease             ","SKYFALL                      "
6/28/2019,320.00,-,"ABM Deposit",""
6/24/2019,35.00,-,"DEPOSIT                ","MB-EMAIL MONEY TRF"
6/19/2019,-151.44,-,"POS Purchase           ","#284 SPORT CHEK          FREDE"
6/19/2019,-3.91,-,"POS Purchase           ","FPOS TIM HORTONS #2853   BRIST"
6/18/2019,-2.77,-,"Miscellaneous Payment  ","PAYPAL                       "
6/17/2019,-54.72,-,"POS Purchase           ","FPOS WATERVILLE IRVING 15WATER"
6/11/2019,-149.44,-,"POS Purchase           ","#284 SPORT CHEK          FREDE"
6/11/2019,-25.04,-,"POS Purchase           ","FPOS MANCHU WOK RESTAURANFREDE"
6/10/2019,-13.99,-,"POS Purchase           ","OPOS CINEPLEX #8030 WEB QTORON"
6/10/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0B480BBD8  Stock"
6/10/2019,-160.21,-,"POS Purchase           ","WAL-MART #3032           FREDE"
6/10/2019,-15.49,-,"POS Purchase           ","FPOS SUBWAY # 20599      FREDE"
6/7/2019,-12.87,-,"POS Purchase           ","FPOS SOBEYS #349        QFREDE"
6/6/2019,-67.12,-,"Insurance              ","AMERICAN INCOME              "
6/6/2019,-44.85,-,"POS Purchase           ","OPOS Amazon.ca Prime Membamazo"
6/6/2019,-56.25,-,"POS Purchase           ","DOMINO'S PIZZA #10902    FREDE"
6/3/2019,-370.00,-,"Rent/Lease             ","SKYFALL                      "
5/29/2019,-19.83,-,"POS Purchase           ","THE HILLTOP              FREDE"
5/28/2019,-33.71,-,"POS Purchase           ","GRECO PIZZA              FREDE"
5/28/2019,-200.00,-,"ABM Withdrawal",""
5/28/2019,-150.00,-,"POS Purchase           ","SOBEYS 375               FREDE"
5/28/2019,-62.17,-,"POS Purchase           ","FPOS CIRCLE K / IRVING  QFREDE"
5/27/2019,-3.89,-,"Miscellaneous Payment  ","PAYPAL                       "
5/25/2019,-1.54,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
5/22/2019,-16.08,-,"POS Purchase           ","FPOS TIM HORTONS #0176   FREDE"
5/21/2019,-6.90,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
5/21/2019,-4.36,-,"POS Purchase           ","FPOS MCDONALD'S #1808    FREDE"
5/21/2019,-32.88,-,"POS Purchase           ","FPOS CINEPLEX #6111      FREDE"
5/18/2019,-0.00,-,"Service Charge         ","PC-FREE EMAIL MONEY TRF"
5/18/2019,-500.00,-,"WITHDRAWAL             ","PC-EMAIL MONEY TRF"
5/17/2019,-32.65,-,"POS Purchase           ","GRECO PIZZA              FREDE"
5/15/2019,-7.46,-,"POS Purchase           ","FPOS TIM HORTONS #0276   FREDE"
5/14/2019,-6.95,-,"Miscellaneous Payment  ","PAYPAL                       "
5/14/2019,-8.05,-,"POS Purchase           ","FPOS SOBEYS 375          FREDE"
5/14/2019,-43.00,-,"POS Purchase           ","FPOS CRUISER HOLDINGS INCCHARL"
5/13/2019,221.80,-,"Tax Refund             ","CANADA                       "
5/11/2019,0.34,-,"POS Return             ","OPOS 0.26 Amazon.com     Amzn."
5/10/2019,-4.29,-,"POS Purchase           ","FPOS TIM HORTONS #2848   FREDE"
5/10/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0ACCBD915  Stock"
5/9/2019,-7.23,-,"POS Purchase           ","GRECO PIZZA              FREDE"
5/9/2019,-36.99,-,"POS Purchase           ","FPOS ALCOOL NB LIQUOR  #0FREDE"
5/9/2019,-31.71,-,"POS Purchase           ","THE SNOOTY FOX           FREDE"
5/9/2019,-30.00,-,"POS Purchase           ","FPOS MURRAY'S IRVING     BEARD"
5/8/2019,-4.91,-,"POS Purchase           ","FPOS GLENN'S GROCERY LTD.FLORE"
5/8/2019,-12.24,-,"POS Purchase           ","DOMINO'S PIZZA #10902    FREDE"
5/8/2019,-149.44,-,"POS Purchase           ","#284 SPORT CHEK          FREDE"
5/8/2019,-3.71,-,"POS Purchase           ","FPOS TIM HORTONS #2853   BRIST"
5/6/2019,-54.27,-,"Miscellaneous Payment  ","EnergieNB Power              "
5/6/2019,-12.62,-,"POS Purchase           ","FPOS BURGER KING #23282  FREDE"
5/6/2019,-20.00,-,"POS Purchase           ","CLIFFE STREET IRVING     FREDE"
5/6/2019,-20.00,-,"POS Purchase           ","RINGO'S BAR & GRILL      FREDE"
5/4/2019,-160.40,-,"POS Purchase           ","OPOS BELL ALIANT ONLINE #SAINT"
5/3/2019,-23.31,-,"POS Purchase           ","GRECO PIZZA              FREDE"
5/2/2019,-19.83,-,"POS Purchase           ","EASTSIDE MARIOS #8794    FREDE"
5/2/2019,-6.90,-,"POS Purchase           ","FPOS DAIRY SHOP/GISELE'S FREDE"
5/1/2019,-370.00,-,"Rent/Lease             ","SKYFALL                      "
5/1/2019,-28.74,-,"Miscellaneous Payment  ","PAYPAL                       "
5/1/2019,-12.41,-,"POS Purchase           ","FPOS MARY BROWN'S 3500   FREDE"
4/30/2019,-15.39,-,"POS Purchase           ","SUBWAY # 5290            FREDE"
4/30/2019,-40.00,-,"POS Purchase           ","FPOS CIRCLE K / IRVING  QFREDE"
4/29/2019,-5.74,-,"POS Purchase           ","FPOS CINEPLEX #6111      FREDE"
4/29/2019,-9.42,-,"POS Purchase           ","FPOS WENDY'S RESTAURANT QFREDE"
4/29/2019,-9.53,-,"POS Purchase           ","FPOS TIM HORTONS #0176   FREDE"
4/29/2019,-0.00,-,"Service Charge         ","PC-FREE EMAIL MONEY TRF"
4/29/2019,-60.00,-,"WITHDRAWAL             ","PC-EMAIL MONEY TRF"
4/25/2019,-3.89,-,"Miscellaneous Payment  ","PAYPAL                       "
4/25/2019,-15.52,-,"POS Purchase           ","CELLAR PUB (CA100)       FREDE"
4/25/2019,1719.00,-,"DEPOSIT                ",""
4/18/2019,-11.49,-,"Miscellaneous Payment  ","PAYPAL                       "
4/18/2019,-19.39,-,"POS Purchase           ","DOMINO'S PIZZA #10902    FREDE"
4/17/2019,-13.44,-,"POS Purchase           ","FPOS MANCHU WOK RESTAURANFREDE"
4/17/2019,-30.90,-,"POS Purchase           ","WAL-MART #3032           FREDE"
4/17/2019,-80.00,-,"POS Purchase           ","FPOS CIRCLE K / IRVING  QFREDE"
4/17/2019,-180.00,-,"ABM Withdrawal",""
4/16/2019,-7.66,-,"POS Purchase           ","FPOS TIM HORTONS #2131   FREDE"
4/15/2019,-6.91,-,"Miscellaneous Payment  ","PAYPAL                       "
4/15/2019,-33.28,-,"POS Purchase           ","GRECO PIZZA              FREDE"
4/15/2019,-9.41,-,"POS Purchase           ","FPOS WENDY'S RESTAURANT QFREDE"
4/11/2019,-11.59,-,"POS Purchase           ","FPOS MARY BROWN'S 3500   FREDE"
4/10/2019,-4.99,-,"POS Purchase           ","OPOS Spotify P0A56621F8  Stock"
4/10/2019,-6.43,-,"POS Purchase           ","FPOS TIM HORTONS #0176   FREDE"
4/9/2019,-10.35,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
4/9/2019,-28.80,-,"POS Purchase           ","FPOS SOBEYS #849        QFREDE"
4/8/2019,-1.36,-,"POS Purchase           ","FPOS UNIV OF NEW BRUNSWICFREDE"
4/6/2019,-2.96,-,"POS Purchase           ","MAIL N MART              FREDE"
4/6/2019,-20.25,-,"POS Purchase           ","RINGO'S BAR & GRILL      FREDE"
4/5/2019,161.90,-,"Provincial Payment     ","CANADA                       "
4/2/2019,-160.00,-,"ABM Withdrawal",""
4/2/2019,-51.87,-,"POS Purchase           ","FPOS SOBEYS #849        QFREDE"
4/1/2019,-362.50,-,"Rent/Lease             ","SKYFALL                      "
4/1/2019,-11.83,-,"POS Purchase           ","FPOS WENDY'S RESTAURANT QFREDE"
