Transaction Date,Transaction Amount,Notes,Transaction Type,Entity,
9/29/2018,-83.75,-,POS Purchase,Wal-Mart #3032 Frederictonnbca,NULL
10/1/2018,-362.5,-,Rent/Lease,Skyfall,NULL
10/2/2018,-35.37,-,POS Purchase,Fpos Sobeys #535 Qfrederictonnbcd,NULL
10/3/2018,-11.36,-,POS Purchase,Fpos Mary Brown'S 3500 Frederictonnbcd,NULL
10/3/2018,175,-,DEPOSIT        ,DEPOSIT        ,NULL
10/5/2018,161.9,-,Provincial Payment ,Canada,NULL
10/5/2018,-81.16,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
10/5/2018,-25.27,-,POS Purchase,Wal-Mart #1043 Woodstock NBCA,NULL
10/10/2018,-4.99,-,POS Purchase,Opos Spotify P07CA7B561 Stockholm SE,NULL
10/11/2018,-12.98,-,POS Purchase,Fpos Wendy'S Restaurant Qfrederictonnbca,NULL
10/12/2018,-13.25,-,POS Purchase,Opos Cineplex #8030 Web Qtoronto ONCA,NULL
10/15/2018,-6.74,-,Miscellaneous Payment,Paypal,NULL
10/16/2018,-40.19,-,POS Purchase,Ringo'S Bar & Grill Frederictonnbca,NULL
10/16/2018,-47.7,-,POS Purchase,Fpos Sobeys #535 Qfrederictonnbcd,NULL
10/16/2018,-41.79,-,Miscellaneous Payment,EnergieNB Power,NULL
10/20/2018,-11.43,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
10/20/2018,-60.01,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
10/23/2018,-32.43,-,POS Purchase,Sobeys #535 Qps Frederictonnbcd,NULL
10/24/2018,-150.05,-,POS Purchase,Opos Bell Aliant Online #Saint John NBCA,NULL
10/24/2018,-20.4,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
10/26/2018,-28.49,-,POS Purchase,Montana'S Cookhouse #3043Frederictonnbcd,NULL
10/26/2018,-5.74,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
10/27/2018,-37.59,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
10/27/2018,-23.99,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
10/29/2018,-220,-,POS Purchase,Regent & Priestman 1 FrederictonNB,NULL
10/30/2018,-72.95,-,POS Purchase,Fpos Sobeys #535 Qfrederictonnbcd,NULL
11/1/2018,-362.5,-,Rent/Lease,Skyfall,NULL
11/2/2018,-12.65,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
11/2/2018,-5.74,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
11/3/2018,-13.71,-,POS Purchase,Fpos A&W Main Street Plazfrederictonnbca,NULL
11/3/2018,-82.86,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
11/8/2018,-15.8,-,POS Purchase,Greco Pizza Frederictonnbcd,NULL
11/10/2018,-4.99,-,POS Purchase,Opos Spotify P0831353E6 Stockholm SE,NULL
11/10/2018,-15.5,-,POS Purchase,Fpos A&W #7111 Frederictonnbca,NULL
11/10/2018,-16.34,-,POS Purchase,Wal-Mart #3032 Frederictonnbca,NULL
11/13/2018,-6.82,-,Miscellaneous Payment,Paypal,NULL
11/14/2018,-139.81,-,POS Purchase,Wal-Mart #3032 Frederictonnbca,NULL
11/15/2018,-9.53,-,POS Purchase,Fpos Subway # 5290 Frederictonnbcd,NULL
11/19/2018,-40.01,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
11/19/2018,-11.43,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
11/22/2018,-27.62,-,POS Purchase,Greco Pizza Frederictonnbcd,NULL
11/23/2018,-11.43,-,POS Purchase,Fpos A&W #7111 Frederictonnbca,NULL
11/23/2018,-11.48,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
11/24/2018,-15.53,-,POS Purchase,Rotisserie St Hubert # Frederictonnbca,NULL
11/26/2018,-13.89,-,POS Purchase,Fpos Manchu Wok Restauranfrederictonnb- CA,NULL
11/26/2018,-11.59,-,POS Purchase,Pretzelmaker Frederictonnbcd,NULL
11/26/2018,-660,-,WITHDRAWAL        ,03792670 MB-Email Money Trf,NULL
11/26/2018,0,-,Service Charge,MB-Free Email Money Trf,NULL
11/27/2018,-11.9,-,POS Purchase,Domino'S Pizza #10902 Frederictonnbcd,NULL
11/27/2018,-50.69,-,POS Purchase,Fpos Sobeys 375 Frederictonnbcd,NULL
11/28/2018,-61.16,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
11/29/2018,-150.05,-,POS Purchase,Opos Bell Aliant Online #Saint John NBCA,NULL
11/29/2018,-50,-,WITHDRAWAL        ,20579132 PC-Email Money Trf,NULL
11/29/2018,0,-,Service Charge,PC-Free Email Money Trf,NULL
11/29/2018,-200,-,ABM Withdrawal,Regent & Priestman 3 FrederictonNB,NULL
11/30/2018,-11.71,-,POS Purchase,Fpos Wendy'S Restaurant Qfrederictonnbca,NULL
11/30/2018,-63.18,-,Miscellaneous Payment,EnergieNB Power,NULL
12/3/2018,-34.97,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
12/3/2018,-31.03,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
12/3/2018,66,-,DEPOSIT        ,39568763 PC-Email Money Trf,NULL
12/3/2018,-2.2,-,POS Purchase,Fpos University of New Brfrederictonnbca,NULL
12/3/2018,-362.5,-,Rent/Lease,Skyfall,NULL
12/4/2018,-17.24,-,Miscellaneous Payment,Paypal,NULL
12/5/2018,-6.9,-,POS Purchase,Fpos Dairy Shop/ Gisele'S Frederictonnbca,NULL
12/6/2018,-12.58,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
12/6/2018,-6,-,Miscellaneous Payment,Paypal,NULL
12/8/2018,-8.03,-,POS Purchase,Fpos Tim Hortons #0276# Qfrederictonnbcd,NULL
12/8/2018,-20.98,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
12/8/2018,-5.79,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
12/8/2018,-665.03,-,POS Purchase,Sleep Country #482 Frederictonnbca,NULL
12/8/2018,-14.49,-,POS Purchase,Papa Georgios Pizza Frederictonnbca,NULL
12/8/2018,-114.97,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
12/10/2018,-24.98,-,POS Purchase,Greco Pizza Frederictonnbcd,NULL
12/10/2018,20,-,DEPOSIT        ,68335287 PC-Email Money Trf,NULL
12/10/2018,-4.99,-,POS Purchase,Opos Spotify P089CC44FF Stockholm SE,NULL
12/10/2018,17.24,-,Miscellaneous Payment,Paypal,NULL
12/10/2018,-60,-,POS Purchase,Cliffe Street Grab N G Frederictonnbca,NULL
12/10/2018,-12.87,-,POS Purchase,Fpos Burger King #23282 Frederictonnbca,NULL
12/11/2018,-48.98,-,POS Purchase,Fpos Sobeys #849 Qfrederictonnbcd,NULL
12/11/2018,166.26,-,DEPOSIT        ,78017091 PC-Email Money Trf,NULL
12/12/2018,-5.74,-,Miscellaneous Payment,Paypal,NULL
12/12/2018,-5.74,-,Miscellaneous Payment,Paypal,NULL
12/13/2018,-6.92,-,Miscellaneous Payment,Paypal,NULL
12/17/2018,-13.5,-,POS Purchase,Opos Cineplex #8030 Web Qtoronto ONCA,NULL
12/17/2018,-28.74,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
12/17/2018,-11.43,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
12/18/2018,-13.89,-,POS Purchase,Fpos Manchu Wok Restauranfrederictonnb- CA,NULL
12/18/2018,-27.53,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
12/19/2018,-7.69,-,POS Purchase,Fpos Mcdonald'S #1808 Frederictonnbca,NULL
12/19/2018,-6.9,-,POS Purchase,Fpos Dairy Shop/ Gisele'S Frederictonnbca,NULL
12/22/2018,166.26,-,DEPOSIT        ,28547154 MB-Email Money Trf,NULL
12/27/2018,-6.51,-,POS Purchase,Fpos Tim Hortons #2598 Woodstock NBCD,NULL
12/27/2018,-33,-,POS Purchase,Ultramar #12659 Bath NBCA,NULL
12/31/2018,-150.05,-,POS Purchase,Opos Bell Aliant Online #Saint John NBCA,NULL
12/31/2018,-80.88,-,Miscellaneous Payment,EnergieNB Power,NULL
1/2/2019,-362.5,-,Rent/Lease,Skyfall,NULL
1/4/2019,161.9,-,Provincial Payment ,Canada,NULL
1/4/2019,-40,-,POS Purchase,Fpos Irving/ Florencevilleflorencev- Ilnbca,NULL
1/5/2019,-265.49,-,POS Purchase,Opos 191.88 Codecademy New York NYUS,NULL
1/7/2019,-13.07,-,POS Purchase,Fpos Mcdonald'S #1808 Frederictonnbca,NULL
1/7/2019,-20.54,-,POS Purchase,Fpos Subway # 22010 Frederictonnbcd,NULL
1/8/2019,912,-,ABM Deposit,Regent & Priestman 1 FrederictonNB,NULL
1/8/2019,-400,-,AMB Withdrawl,Regent & Priestman 1 FrederictonNB,NULL
1/8/2019,-54.05,-,POS Purchase,Fpos Costco Gas W1090 Frederictonnbca,NULL
1/8/2019,-66.92,-,POS Purchase,Fpos Sobeys 375 Frederictonnbcd,NULL
1/8/2019,150.1,-,DEPOSIT        ,99605161 PC-Email Money Trf,NULL
1/9/2019,3546.75,-,Student Loan,NB Student Loan,NULL
1/9/2019,-25.12,-,POS Purchase,Opos Amazon.ca Amazon.CA ONCA,NULL
1/10/2019,-6.9,-,POS Purchase,Fpos Dairy Shop/ Gisele'S Frederictonnbca,NULL
1/10/2019,-4.99,-,POS Purchase,Opos Spotify P09082A89B Stockholm SE,NULL
1/11/2019,-25.54,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
1/15/2019,-6.84,-,Miscellaneous Payment,Paypal,NULL
1/16/2019,-12.96,-,POS Purchase,Fpos Sobeys #849 Qfrederictonnbcd,NULL
1/19/2019,-65,-,POS Purchase,Circle K / Irving Qps Frederictonnbca,NULL
1/19/2019,-13.07,-,POS Purchase,Fpos Mcdonald'S #1808 Frederictonnbca,NULL
1/19/2019,-25.27,-,POS Purchase,Fpos Sobeys #849 Qfrederictonnbcd,NULL
1/22/2019,-47.01,-,POS Purchase,Fpos Sobeys #849 Qfrederictonnbcd,NULL
1/22/2019,-10.78,-,POS Purchase,Fpos Burger King #23282 Frederictonnbca,NULL
1/25/2019,-35.99,-,POS Purchase,Fpos Alcool NB Liquor #0Frederictonnbca,NULL
1/26/2019,-8.37,-,POS Purchase,Fpos Mcdonald'S #1808 Frederictonnbca,NULL
1/26/2019,-2.2,-,POS Purchase,Fpos Tim Hortons #2853# Qbristol NBCD,NULL
1/29/2019,-51.64,-,POS Purchase,Fpos Sobeys 375 Frederictonnbcd,NULL
1/30/2019,-6.9,-,POS Purchase,Dairy Shop/Gisele'S Pi Frederictonnbca,NULL
1/31/2019,-15.89,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
1/31/2019,-7.99,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
2/1/2019,-362.5,-,Rent/Lease,Skyfall,NULL
2/2/2019,-42.17,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
2/4/2019,-9.37,-,POS Purchase,Fpos Tim Hortons #0276# Qfrederictonnbcd,NULL
2/4/2019,-150.05,-,POS Purchase,Opos Bell Aliant Online #Saint John NBCA,NULL
2/4/2019,-20,-,POS Purchase,Ringo'S Bar & Grill Frederictonnbca,NULL
2/4/2019,-20.49,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
2/4/2019,-44.96,-,Miscellaneous Payment,EnergieNB Power,NULL
2/6/2019,-6.9,-,POS Purchase,Fpos Dairy Shop/ Gisele'S Frederictonnbca,NULL
2/7/2019,-6.31,-,POS Purchase,Fpos Tim Hortons #0176# Qfrederictonnbcd,NULL
2/8/2019,-14.95,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
2/8/2019,-13.2,-,POS Purchase,Fpos Subway # 20599 Frederictonnbcd,NULL
2/9/2019,-8.04,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
2/11/2019,-4.99,-,POS Purchase,Opos Spotify P0970D6645 Stockholm SE,NULL
2/11/2019,-60,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
2/11/2019,-3.55,-,POS Purchase,Fpos Shell C22134 Gagetown NBCA,NULL
2/11/2019,-11.53,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
2/11/2019,-120,-,WITHDRAWAL        ,43061485 PC-Email Money Trf,NULL
2/11/2019,0,-,Service Charge,PC-Free Email Money Trf,NULL
2/12/2019,-60.8,-,POS Purchase,Fpos Sobeys #849 Qfrederictonnbcd,NULL
2/13/2019,-6.86,-,Miscellaneous Payment,Paypal,NULL
2/15/2019,-10.45,-,POS Purchase,Fpos Dairy Queen #12079 Frederictonnbca,NULL
2/16/2019,-6.31,-,POS Purchase,Fpos Tim Hortons #0176# Qfrederictonnbcd,NULL
2/18/2019,-8.31,-,POS Purchase,Fpos Tim Hortons #0176# Qfrederictonnbcd,NULL
2/19/2019,-3.71,-,POS Purchase,Fpos Tim Hortons #0105# Qfrederictonnbcd,NULL
2/19/2019,-26.47,-,POS Purchase,Sobeys #849 Qps Frederictonnbcd,NULL
2/20/2019,-6.9,-,POS Purchase,Fpos Dairy Shop/ Gisele'S Frederictonnbca,NULL
2/21/2019,-1.6,-,POS Purchase,Fpos Univ of New Brunswicfrederictonnbca,NULL
2/21/2019,-12.98,-,POS Purchase,Fpos Dairy Queen #12176 Frederictonnbca,NULL
2/23/2019,-3.14,-,POS Purchase,Fpos Tim Hortons #0276# Qfrederictonnbcd,NULL
2/23/2019,-9.76,-,POS Purchase,Fpos Tim Hortons #0276# Qfrederictonnbcd,NULL
2/23/2019,-60,-,POS Purchase,Fpos Circle K / Irving Qfrederictonnbca,NULL
2/25/2019,-45.62,-,POS Purchase,Fpos Greco Pizza Frederictonnbcd,NULL
3/1/2019,-1.6,-,POS Purchase,Fpos Univ of New Brunswicfrederictonnbca,NULL
3/1/2019,-6.9,-,POS Purchase,Fpos Dairy Shop/ Gisele'S Frederictonnbca,NULL
3/1/2019,-9.65,-,POS Purchase,Fpos Wendy'S Restaurant Qfrederictonnbca,NULL
3/1/2019,-362.5,-,Rent/Lease,Skyfall,NULL
3/2/2019,-11.71,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
3/4/2019,-3.74,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
3/8/2019,-180,-,ABM Withdrawal,Bath Branch #1 Bath NB,NULL
3/8/2019,-60,-,POS Purchase,Irving/Florenceville Florencevilnbca,NULL
3/8/2019,-33.28,-,POS Purchase,Greco Pizza Frederictonnbcd,NULL
3/9/2019,-19.96,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
3/9/2019,-55.78,-,POS Purchase,Opos Amzn Mktp CA Www.Amazon.ONCA,NULL
3/11/2019,-6.9,-,POS Purchase,Fpos Dairy Shop/ Gisele'S Frederictonnbca,NULL
3/11/2019,-4.99,-,POS Purchase,Opos Spotify P09Df95595 Stockholm SE,NULL
3/11/2019,-17.89,-,POS Purchase,Fpos A&W #7218 Frederictonnbca,NULL
3/12/2019,-56.81,-,POS Purchase,Fpos Sobeys #849 Qfrederictonnbcd,NULL
3/13/2019,-12.08,-,POS Purchase,Opos Domino'S Pizza #1090Frederictonnbca,NULL
3/13/2019,-6.93,-,Miscellaneous Payment,Paypal,NULL
3/15/2019,-13.89,-,POS Purchase,Fpos Manchu Wok Restauranfrederictonnb- CA,NULL
3/18/2019,-2.15,-,POS Purchase,Fpos Univ of New Brunswicfrederictonnbca,NULL
3/19/2019,-10.48,-,POS Purchase,Wal-Mart #3032 Frederictionbca,NULL
3/19/2019,-99.1,-,POS Purchase,Fpos Sobeys 375 Frederictonnbcd,NULL
3/19/2019,-47.67,-,POS Purchase,Opos 34.84 Amazon.com Seattle WAUS,NULL
3/25/2019,-2.15,-,POS Purchase,Fpos Univ of New Brunswicfrederictonnbca,NULL
3/25/2019,-10,-,WITHDRAWAL        ,27697684 PC-Email Money Trf,NULL
3/25/2019,0,-,Service Charge,PC-Free Email Money Trf,NULL
3/26/2019,-62.86,-,POS Purchase,Fpos Sobeys 375 Frederictonnbcd,NULL
3/26/2019,-60.01,-,POS Purchase,Circle K / Irving Qps Frederictonnbca,NULL
3/26/2019,-9.2,-,POS Purchase,Tim Hortons #0276 Frederictonnbcd,NULL
3/27/2019,-4.11,-,POS Purchase,Fpos Univ of New Brunswicfrederictonnbca,NULL
3/28/2019,-6.9,-,POS Purchase,Fpos Dairy Shop/ Gisele'S Frederictonnbca,NULL
3/29/2019,-315.33,-,POS Purchase,Opos Bell Aliant Online #Saint John NBCA,NULL
3/29/2019,-37.99,-,POS Purchase,Alcool NB Liquor #045 Frederictonnbca,NULL
3/29/2019,-30.02,-,POS Purchase,Fpos Cineplex #6111 Frederictonnbcd,NULL
3/29/2019,-99.01,-,Miscellaneous Payment,EnergieNB Power,NULL
